r_NAME;r_PLACE;r_INST;NAME;UDD_AREA;MUN_NAME;H_INST_NAME
Dyrlæge;Foulum;(AU);Veterinærmedicin;;Viborg Kommune;Aarhus Universitet
Jura;Esbjerg;(SDU);Jura;;Esbjerg Kommune;Syddansk Universitet
Læge;Køge;(KU);Medicin;;Køge Kommune;Københavns Universitet
Arkitekt;Kalundborg;(DKA);Arkitekt;;Kalundborg Kommune;Det Kongelige Akademi - Arkitektur, Design, Konservering
Maskiningeniør;Fredericia;(UCL);Diplomingeniør - maskinteknik;;Fredericia Kommune;UCL Erhvervsakademi og Professionshøjskole
Socialrådgiver;Hjørring;(AAU);Socialrådgiver;;Hjørring Kommune;Aalborg Universitet
Bioanalytiker;Hjørring;(UCN);Bioanalytiker;;Hjørring Kommune;Professionshøjskolen University College Nordjylland
Maritim uddannelse;Frederikshavn;(MARTEC);Skibsteknik og marin konstruktion;;Frederikshavn Kommune;MARTEC - Maritime and Polytechnic College
Maskinmester;Thisted;(MARTEC);Maskinmester;;Thisted Kommune;MARTEC - Maritime and Polytechnic College
Socialrådgiver;Horsens;(VIA);Socialrådgiver;;Horsens Kommune;Professionshøjskolen VIA University College
Socialrådgiver;Randers;(VIA);Socialrådgiver;;Randers Kommune;Professionshøjskolen VIA University College
Produktionsteknolog;Skjern;(EAMV);Produktionsteknolog;;Ringkøbing-Skjern Kommune;Erhvervsakademi MidtVest
Maskinmester;Sønderborg;(FMS);Maskinmester;;Sønderborg Kommune;Fredericia Maskinmesterskole
Lærer;Svendborg;(UCL);Lærer i folkeskolen;;Svendborg Kommune;UCL Erhvervsakademi og Professionshøjskole
Ergoterapeut;Haderslev;(UCSYD);Ergoterapeut;;Haderslev Kommune;Professionshøjskolen UC Syddanmark
Radiograf;Næstved;(Absalon);Radiograf;;Næstved Kommune;Professionshøjskolen Absalon
Pædagog;Holbæk;(Absalon);Pædagog;;Holbæk Kommune;Professionshøjskolen Absalon
Nye tekniske uddannelser;Lolland-Falster;(Zealand);It-faglige område;itogdesignuddannelser;Guldborgsund Kommune;Zealand Sjællands Erhvervsakademi
Nye tekniske uddannelser;Lolland-Falster;(Zealand);Tekniske område;tekniskeogteknologiskeuddannelser;Guldborgsund Kommune;Zealand Sjællands Erhvervsakademi
Nye tekniske uddannelser;Lolland-Falster;(Zealand);Bio- og laboratorietekniske område;biooglaboratorietekniskeakademiuddannelser;Guldborgsund Kommune;Zealand Sjællands Erhvervsakademi
Lærer;Hillerød;(KP);Lærer i folkeskolen;;Hillerød Kommune;Københavns Professionshøjskole
Jordemoder;Slagelse;(Absalon);Jordemoder;;Slagelse Kommune;Professionshøjskolen Absalon
Danseuddannelser;Holstebro;;Dance and Choreography;;Holstebro Kommune;Den Danske Scenekunstskole
Musikuddannelser;Holstebro;;Rytmisk Musik og Samskabelse;kunstneriskeuddannelser;Holstebro Kommune;Det Jyske Musikkonservatorium
